flight_direction,waypoint_id,latitude,longitude,altitude,phase,distance_to_next_meters,altitude_difference,vertical_velocity,horizontal_velocity,time_to_complete,destination_heading_radians,is_first_last_time,energy_consumption
SFO_SJC,SFO_SJC_waypoint_27,37.36103523057852,-121.93035917858528,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720083385,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_28,37.352754846485006,-121.9150511920514,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.16824172008268,False,0.4935246100705231
SFO_SJC,SFO_SJC_waypoint_29,37.34447446268701,-121.89974489372112,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082938,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_30,37.336194079184445,-121.8844402829025,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082671,False,0.4935246100705232
SFO_SJC,SFO_SJC_waypoint_31,37.32791369597725,-121.8691373589038,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720083377,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_32,37.31963331306536,-121.85383612103362,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082268,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_33,37.31135293044873,-121.83853656860089,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082465,False,0.4935246100705233
SFO_SJC,SFO_SJC_waypoint_34,37.30307254812726,-121.82323870091476,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082917,False,0.4935246100705233
SFO_SJC,SFO_SJC_waypoint_35,37.29479216610091,-121.8079425172848,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.1682417200828854,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_36,37.286511784369615,-121.7926480170208,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082168,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_37,37.2782314029333,-121.7773551994328,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082179,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_38,37.26995102179191,-121.76206406383125,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082431,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_39,37.26167064094537,-121.7467746095268,450,CRUISE,1635.55,0.0,0.0,79.71,20.518755488646345,2.168241720082921,False,0.49352461007052323
SFO_SJC,SFO_SJC_waypoint_40,37.25339026039361,-121.73148683583048,450,CRUISE,1704.36,0.0,0.0,79.71,21.382009785472334,2.354095417301833,False,0.514287918082478
SFO_SJC,SFO_SJC_waypoint_41,37.24256712094513,-121.7178350946714,450,DESCENT,6356.01,-345.0,2.875,52.966750000000005,120.0,2.1676145115350427,False,2.366141605345261
SFO_SJC,SJC_approach_fix,37.21040687549525,-121.6584328745318,105,DESCENT TRANSITION,1469.08,-90.0,1.5,48.96933333333333,60.0,1.6444682219883695,True,3.13429834359904
SFO_SJC,SJC_hover_fix,37.20943266,-121.6418788,15,HOVER DESCENT,0.0,-15.0,1.5,0.0,10.0,0.0,False,1.0552829206000607
SFO_SJC,SJC_FATO,37.20943266,-121.6418788,0,END,0.0,,,,,,False,
SJC_SFO,SJC_FATO,37.20943266,-121.6418788,0,HOVER CLIMB,0.0,15.0,1.5,0.0,10.0,0.0,False,1.054559089955487
SJC_SFO,SJC_hover_fix,37.20943266,-121.6418788,15,CLIMB TRANSITION,1469.08,90.0,1.5,48.96933333333333,60.0,5.84142898593162,True,3.894426141956078
SJC_SFO,SJC_departure_fix,37.22138338207743,-121.6489765017272,105,CLIMB,6356.01,345.0,2.875,52.966750000000005,120.0,5.317830210332932,False,4.5641839205156955
